"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T10:25:02.1025356-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T10:25:02.1125346-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T10:25:02.1195355-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T10:25:02.1265336-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T10:25:02.1325354-05:00","Service does not exist"
