"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T12:20:01.3172719-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T12:20:01.3172719-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T12:20:01.3329040-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T12:20:01.3329040-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T12:20:01.3485281-05:00","Service does not exist"
