"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T08:40:01.8838845-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T08:40:01.8838845-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T08:40:01.8995120-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T08:40:01.8995120-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T08:40:01.9151369-05:00","Service does not exist"
