"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T09:55:02.1218622-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T09:55:02.1318690-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T09:55:02.1318690-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T09:55:02.1418700-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T09:55:02.1518696-05:00","Service does not exist"
