"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T11:10:01.1030560-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T11:10:01.1030560-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T11:10:01.1186924-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T11:10:01.1186924-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T11:10:01.1343175-05:00","Service does not exist"
