"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T08:35:02.1196872-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T08:35:02.1272744-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T08:35:02.1382807-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T08:35:02.1484133-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T08:35:02.1585349-05:00","Service does not exist"
