"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T11:25:01.2319276-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T11:25:01.2475467-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T11:25:01.2475467-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T11:25:01.2631711-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T11:25:01.2631711-05:00","Service does not exist"
