"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T09:30:02.0908755-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T09:30:02.0908755-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T09:30:02.1065109-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T09:30:02.1065109-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T09:30:02.1221371-05:00","Service does not exist"
