"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T10:40:02.1723095-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T10:40:02.1823087-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T10:40:02.1893091-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T10:40:02.1973090-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T10:40:02.2033067-05:00","Service does not exist"
