"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T10:55:02.3866531-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T10:55:02.4012400-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T10:55:02.4113847-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T10:55:02.4203847-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T10:55:02.4353178-05:00","Service does not exist"
