"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T08:55:01.9873087-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T08:55:02.0029915-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T08:55:02.0029915-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T08:55:02.0274051-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T08:55:02.0318166-05:00","Service does not exist"
