"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T10:50:02.1670126-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T10:50:02.1789475-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T10:50:02.1859658-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T10:50:02.1919554-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T10:50:02.1989568-05:00","Service does not exist"
