"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T11:35:01.1215478-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T11:35:01.1371909-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T11:35:01.1371909-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T11:35:01.1528202-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T11:35:01.1528202-05:00","Service does not exist"
