"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T10:05:02.1546641-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T10:05:02.1646750-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T10:05:02.1746718-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T10:05:02.1846757-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T10:05:02.1911884-05:00","Service does not exist"
