"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T12:50:01.4202532-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T12:50:01.4302544-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T12:50:01.4370933-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T12:50:01.4440959-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T12:50:01.4510938-05:00","Service does not exist"
