"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T12:55:01.3724825-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T12:55:01.3824852-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T12:55:01.3884827-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T12:55:01.3964827-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T12:55:01.4034829-05:00","Service does not exist"
