"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T10:45:02.1842924-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T10:45:02.1932924-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T10:45:02.2002920-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T10:45:02.2072926-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T10:45:02.2142923-05:00","Service does not exist"
