"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T09:35:02.0710473-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T09:35:02.0866960-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T09:35:02.0866960-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T09:35:02.1095930-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T09:35:02.1133996-05:00","Service does not exist"
