"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T09:40:02.0161782-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T09:40:02.0256898-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T09:40:02.0352793-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T09:40:02.0352793-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T09:40:02.0457897-05:00","Service does not exist"
