"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T12:45:01.4237283-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T12:45:01.4337295-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T12:45:01.4407285-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T12:45:01.4477283-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T12:45:01.4537283-05:00","Service does not exist"
