"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T12:35:01.3329979-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T12:35:01.3385042-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T12:35:01.3541398-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T12:35:01.3541398-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T12:35:01.3541398-05:00","Service does not exist"
