"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T10:35:02.2840078-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T10:35:02.2933081-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T10:35:02.3000390-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T10:35:02.3080222-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T10:35:02.3150173-05:00","Service does not exist"
