"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T12:25:01.2466323-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T12:25:01.2622698-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T12:25:01.2622698-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T12:25:01.2778942-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T12:25:01.2935202-05:00","Service does not exist"
