"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T08:45:01.9724434-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T08:45:01.9724434-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T08:45:01.9880741-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T08:45:01.9880741-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T08:45:02.0037031-05:00","Service does not exist"
