"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T08:15:02.1882816-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T08:15:02.2028685-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T08:15:02.2104195-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T08:15:02.2184638-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T08:15:02.2229838-05:00","Service does not exist"
