"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T08:20:02.1641099-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T08:20:02.1762593-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T08:20:02.1762593-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T08:20:02.1888764-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T08:20:02.1964309-05:00","Service does not exist"
