"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T12:15:01.1709695-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T12:15:01.1709695-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T12:15:01.1891267-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T12:15:01.1891267-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T12:15:01.2047735-05:00","Service does not exist"
