"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T08:30:02.1981014-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T08:30:02.2142079-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T08:30:02.2263518-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T08:30:02.2364176-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T08:30:02.2465272-05:00","Service does not exist"
