"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T09:05:02.0053884-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T09:05:02.0053884-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T09:05:02.0220851-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T09:05:02.0298591-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T09:05:02.0373141-05:00","Service does not exist"
