"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T12:10:01.1660694-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T12:10:01.1660694-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T12:10:01.1817125-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T12:10:01.1817125-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T12:10:01.1973376-05:00","Service does not exist"
