"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T10:10:02.1420040-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T10:10:02.1620131-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T10:10:02.1620131-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T10:10:02.1720142-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T10:10:02.1820156-05:00","Service does not exist"
