"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T12:05:01.2462620-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T12:05:01.2462620-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T12:05:01.2619070-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T12:05:01.2619070-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T12:05:01.2775282-05:00","Service does not exist"
