"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T11:45:01.1987996-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T11:45:01.2144335-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T11:45:01.2144335-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T11:45:01.2300617-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T11:45:01.2300617-05:00","Service does not exist"
