"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T12:40:01.4541568-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T12:40:01.4641589-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T12:40:01.4711574-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T12:40:01.4781672-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T12:40:01.4851581-05:00","Service does not exist"
