"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T09:00:02.0553532-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T09:00:02.0718664-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T09:00:02.0883250-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T09:00:02.0883250-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T09:00:02.1054135-05:00","Service does not exist"
