"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T11:50:01.1914640-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T11:50:01.1914640-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T11:50:01.2070966-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T11:50:01.2070966-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T11:50:01.2227211-05:00","Service does not exist"
