"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T09:50:01.8932284-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T09:50:01.9042499-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T09:50:01.9047563-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T09:50:01.9147685-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T09:50:01.9247688-05:00","Service does not exist"
