"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T08:10:02.2340490-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T08:10:02.2526936-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T08:10:02.2526936-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T08:10:02.2693440-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T08:10:02.2818657-05:00","Service does not exist"
