"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T13:10:01.5728533-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T13:10:01.5858559-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T13:10:01.5918560-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T13:10:01.5988517-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T13:10:01.6048558-05:00","Service does not exist"
