"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T09:45:01.9808441-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T09:45:01.9808441-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T09:45:01.9964796-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T09:45:01.9964796-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T09:45:02.0126708-05:00","Service does not exist"
