"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T09:10:01.9358699-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T09:10:01.9490856-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T09:10:01.9585829-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T09:10:01.9627866-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T09:10:01.9627866-05:00","Service does not exist"
