"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T10:20:02.1115099-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T10:20:02.1205087-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T10:20:02.1285091-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T10:20:02.1355089-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T10:20:02.1425079-05:00","Service does not exist"
