"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T08:25:02.1053803-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T08:25:02.1199225-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T08:25:02.1254940-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T08:25:02.1360199-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T08:25:02.1452770-05:00","Service does not exist"
