"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T11:15:01.0919073-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T11:15:01.0989145-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T11:15:01.1145519-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T11:15:01.1145519-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T11:15:01.1145519-05:00","Service does not exist"
