"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T10:00:02.0785710-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T10:00:02.0885804-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T10:00:02.0985806-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T10:00:02.1085823-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T10:00:02.1185841-05:00","Service does not exist"
