"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T08:50:01.9597068-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T08:50:01.9597068-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T08:50:01.9753405-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T08:50:01.9753405-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T08:50:01.9909658-05:00","Service does not exist"
