"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T08:05:02.1103092-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T08:05:02.1224023-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T08:05:02.1324584-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T08:05:02.1440329-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T08:05:02.1525738-05:00","Service does not exist"
