"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T13:15:01.5339243-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T13:15:01.5439271-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T13:15:01.5509266-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T13:15:01.5573580-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T13:15:01.5643483-05:00","Service does not exist"
