"Service Name","Status","Timestamp","Action Taken"
"CompassService","Not Found","2025-09-19T10:30:02.2318536-05:00","Service does not exist"
"AlertonCompassIgnite1","Not Found","2025-09-19T10:30:02.2458605-05:00","Service does not exist"
"Alerton Compass Kafka","Not Found","2025-09-19T10:30:02.2548562-05:00","Service does not exist"
"EthuioService","Not Found","2025-09-19T10:30:02.2618557-05:00","Service does not exist"
"AlertonPointDataService1","Not Found","2025-09-19T10:30:02.2708560-05:00","Service does not exist"
